Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (EUR),Total (EUR),Withholding Tax
Market buy,26/06/2020 19:33,US46625H1005,JPM,JPMorgan Chase,1,92.11,USD,1.12249,,82.1,
Market buy,19/08/2020 18:30,US6541101050,NKLA,Nikola Corporation,14,42.65,USD,1.18513,,503.8,
Market buy,19/08/2020 18:33,US02209S1033,MO,Altria Group,10,43.82,USD,1.18493,,369.8,
Market buy,19/08/2020 19:01,US1667641005,CVX,Chevron,8,86.99,USD,1.18554,,587,
Market buy,24/08/2020 13:35,US62914V1061,NIO,NIO Inc,50,14.95,USD,1.18315,,631.8,
Market buy,27/08/2020 18:37,US26142R1041,DKNG,DraftKings,20,39.03,USD,1.18278,,660,
Market buy,27/08/2020 18:38,US5529531015,MGM,MGM Resorts,40,23.12,USD,1.18277,,781.9,
Market buy,02/09/2020 19:03,US26142R1041,DKNG,DraftKings,7.5,39.96,USD,1.18249,,253.4,
Market sell,13/11/2020 17:19,US62914V1061,NIO,NIO Inc,20,44.51,USD,1.18302,49.98,752.5,0.08
Market buy,17/11/2020 19:48,US62914V1061,NIO,NIO Inc,12,49.02,USD,1.18648,,495.8,
Market buy,08/12/2020 15:31,US69608A1088,PLTR,Palantir,22,27.67,USD,1.21067,,502.8,
Market buy,08/12/2020 15:35,US62914V1061,NIO,NIO Inc,8,46.82,USD,1.21037,,309.5,
Market buy,30/12/2020 18:43,US7201621064,PLL,Piedmont Lithium,26,27.99,USD,1.22885,,592.2,
Market sell,17/02/2021 15:51,US72919P2020,PLUG,Plug Power,20,56.7,USD,1.20315,84.47,942.5,0.14
Market sell,17/02/2021 15:52,IL0011582033,FVRR,Fiverr International,2.5,305.24,USD,1.20306,49.46,634.3,0.08
Market sell,18/02/2021 16:18,US65249B2088,NWS,News Corp Class B,30,22.83,USD,1.20813,31.49,566.8,0.05
Market sell,19/02/2021 16:44,US90184L1026,TWTR,Twitter,13.5,73.25,USD,1.21375,41.38,814.7,0.07
Market buy,23/02/2021 15:16,US6541101050,NKLA,Nikola Corporation,25,19.23,USD,1.21433,,395.9,
Market sell,23/02/2021 15:23,US92556H2067,VIAC,ViacomCBS,15,64.33,USD,1.21501,57.62,794.2,0.1
Market buy,23/02/2021 15:31,US7201621064,PLL,Piedmont Lithium,4,50.89,USD,1.21599,,167.4,
Market buy,23/02/2021 15:43,US70451A1043,PAYS,Paysign,50,4.8,USD,1.21618,,197.3,
Market buy,04/03/2021 19:11,US69608A1088,PLTR,Palantir,10,23.76,USD,1.19706,,198.5,
Market sell,05/03/2021 15:09,US62914V1061,NIO,NIO Inc,20,37.15,USD,1.19249,14.93,623.1,0.03
Market sell,06/05/2021 19:25,US60770K1079,MRNA,Moderna,7.5,159.94,USD,1.20615,53.49,993,0.09
Market buy,17/05/2021 18:27,US72919P2020,PLUG,Plug Power,60,24.25,USD,1.12631,,1455,
Market buy,30/07/2021 14:10,US0231351067,AMZN,Amazon,0.3,3358.69,USD,1.18793,,849.5,
Market buy,04/08/2021 13:55,US7672921050,RIOT,Riot Blockchain,25,32.25,USD,1.18919,,679,
Market buy,05/10/2021 0:00,US02209S1033,MO,Altria Group,20,46.44,USD,1.1591,,802.2,
Market buy,13/10/2021 0:00,US7672921050,RIOT,Riot Blockchain,30,25.86,USD,1.1574,,671.3,
Market buy,25/10/2021 0:00,US8621211007,STOR,STORE Capital,15,34.55,USD,1.16159,,446.2,
Market sell,09/11/2021 18:27,US72919P2020,PLUG,Plug Power,45,41.17,USD,1.12631,,1852.65,
