OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
29-1024,Prosthodontists,detailed,710,39.7,77.41,"161,020",9.8,35.12,42.72,57.57,#,#,"73,050","88,860","119,740",#,#,,
29-1150,Nurse Anesthetists,broad,"39,410",3.6,77.04,"160,250",1.0,50.68,64.42,75.55,89.24,#,"105,410","133,990","157,140","185,620",#,,
29-1151,Nurse Anesthetists,detailed,"39,410",3.6,77.04,"160,250",1.0,50.68,64.42,75.55,89.24,#,"105,410","133,990","157,140","185,620",#,,
17-2170,Petroleum Engineers,broad,"34,600",4.4,71.92,"149,590",1.3,36.00,47.78,62.49,88.97,#,"74,880","99,390","129,990","185,050",#,,
17-2171,Petroleum Engineers,detailed,"34,600",4.4,71.92,"149,590",1.3,36.00,47.78,62.49,88.97,#,"74,880","99,390","129,990","185,050",#,,
11-9040,Architectural and Engineering Managers,broad,"179,770",0.9,68.10,"141,650",0.5,40.73,51.11,63.85,79.39,#,"84,710","106,320","132,800","165,130",#,,
11-9041,Architectural and Engineering Managers,detailed,"179,770",0.9,68.10,"141,650",0.5,40.73,51.11,63.85,79.39,#,"84,710","106,320","132,800","165,130",#,,
11-3020,Computer and Information Systems Managers,broad,"341,250",1.0,67.79,"141,000",0.5,38.54,48.98,63.27,79.88,#,"80,160","101,880","131,600","166,160",#,,
11-3021,Computer and Information Systems Managers,detailed,"341,250",1.0,67.79,"141,000",0.5,38.54,48.98,63.27,79.88,#,"80,160","101,880","131,600","166,160",#,,
11-2021,Marketing Managers,detailed,"192,890",1.0,67.63,"140,660",0.6,31.78,44.00,61.90,84.16,#,"66,090","91,520","128,750","175,060",#,,
11-9120,Natural Sciences Managers,broad,"53,450",2.1,65.66,"136,570",1.5,33.29,44.23,57.77,78.13,#,"69,250","91,990","120,160","162,510",#,,
11-9121,Natural Sciences Managers,detailed,"53,450",2.1,65.66,"136,570",1.5,33.29,44.23,57.77,78.13,#,"69,250","91,990","120,160","162,510",#,,
53-2011,"Airline Pilots, Copilots, and Flight Engineers",detailed,"81,350",5.2,*,"136,400",3.2,*,*,*,*,*,"60,770","85,730","117,290","163,130",#,TRUE,
23-1011,Lawyers,detailed,"609,930",0.7,65.51,"136,260",0.6,26.86,36.68,55.69,83.79,#,"55,870","76,300","115,820","174,280",#,,
29-1080,Podiatrists,broad,"9,500",3.5,65.47,"136,180",2.3,23.52,36.63,57.37,82.57,#,"48,920","76,180","119,340","171,740",#,,
29-1081,Podiatrists,detailed,"9,500",3.5,65.47,"136,180",2.3,23.52,36.63,57.37,82.57,#,"48,920","76,180","119,340","171,740",#,,
23-1010,Lawyers and Judicial Law Clerks,broad,"622,590",0.7,64.76,"134,710",0.6,26.19,35.97,54.94,82.81,#,"54,470","74,820","114,280","172,240",#,,
11-3030,Financial Managers,broad,"531,120",0.6,64.58,"134,330",0.3,30.30,40.67,56.73,78.69,#,"63,020","84,600","117,990","163,680",#,,
11-3031,Financial Managers,detailed,"531,120",0.6,64.58,"134,330",0.3,30.30,40.67,56.73,78.69,#,"63,020","84,600","117,990","163,680",#,,
11-2020,Marketing and Sales Managers,broad,"557,640",0.6,64.40,"133,950",0.4,27.63,39.11,57.35,80.96,#,"57,480","81,350","119,280","168,390",#,,
23-1000,"Lawyers, Judges, and Related Workers",minor,"672,580",0.6,63.64,"132,380",0.6,25.50,35.40,54.39,81.05,#,"53,030","73,640","113,120","168,580",#,,
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,"647,360",0.5,63.30,"131,670",0.3,27.18,38.37,56.16,79.46,#,"56,530","79,810","116,810","165,280",#,,
11-2022,Sales Managers,detailed,"364,750",0.6,62.69,"130,400",0.4,26.20,36.68,54.74,78.99,#,"54,490","76,300","113,860","164,300",#,,
25-1112,"Law Teachers, Postsecondary",detailed,"16,430",5.1,*,"126,230",2.2,*,*,*,*,*,"42,150","62,880","105,250","168,490",#,TRUE,
11-1000,Top Executives,minor,"2,439,900",0.2,59.71,"124,210",0.2,20.47,31.39,48.53,77.40,#,"42,580","65,290","100,940","160,980",#,,
11-3110,Compensation and Benefits Managers,broad,"15,930",1.5,58.48,"121,630",0.6,29.17,39.52,53.57,72.40,#,"60,680","82,210","111,430","150,600",#,,
11-3111,Compensation and Benefits Managers,detailed,"15,930",1.5,58.48,"121,630",0.6,29.17,39.52,53.57,72.40,#,"60,680","82,210","111,430","150,600",#,,
11-3000,Operations Specialties Managers,minor,"1,663,790",0.4,58.12,"120,900",0.2,28.18,37.86,52.05,71.33,#,"58,620","78,740","108,260","148,370",#,,
11-1020,General and Operations Managers,broad,"2,145,140",0.3,57.44,"119,460",0.2,21.24,31.13,46.99,73.21,#,"44,190","64,750","97,730","152,270",#,,
11-1021,General and Operations Managers,detailed,"2,145,140",0.3,57.44,"119,460",0.2,21.24,31.13,46.99,73.21,#,"44,190","64,750","97,730","152,270",#,,
11-2030,Public Relations and Fundraising Managers,broad,"60,380",1.2,57.40,"119,390",0.7,27.35,36.54,50.07,70.96,#,"56,890","76,000","104,140","147,590",#,,
11-2031,Public Relations and Fundraising Managers,detailed,"60,380",1.2,57.40,"119,390",0.7,27.35,36.54,50.07,70.96,#,"56,890","76,000","104,140","147,590",#,,
53-2010,Aircraft Pilots and Flight Engineers,broad,"121,110",3.7,*,"119,360",3.1,*,*,*,*,*,"46,500","71,700","102,520","148,100",#,TRUE,
29-1050,Pharmacists,broad,"295,620",0.8,57.34,"119,270",0.2,41.73,51.83,58.41,66.66,74.06,"86,790","107,810","121,500","138,660","154,040",,
29-1051,Pharmacists,detailed,"295,620",0.8,57.34,"119,270",0.2,41.73,51.83,58.41,66.66,74.06,"86,790","107,810","121,500","138,660","154,040",,
53-2021,Air Traffic Controllers,detailed,"23,130",1.6,57.09,"118,740",0.5,32.10,41.50,59.11,72.17,82.97,"66,780","86,330","122,950","150,120","172,590",,
19-2012,Physicists,detailed,"15,650",3.7,56.97,"118,500",1.4,26.74,38.79,53.65,71.16,89.06,"55,610","80,670","111,580","148,020","185,230",,
13-2052,Personal Financial Advisors,detailed,"197,580",1.5,56.76,"118,050",1.0,18.89,27.49,42.86,73.71,#,"39,300","57,190","89,160","153,320",#,,
19-2010,Astronomers and Physicists,broad,"17,410",3.4,56.57,"117,660",1.4,26.51,38.07,53.36,71.16,88.13,"55,130","79,180","110,980","148,010","183,310",,
11-3120,Human Resources Managers,broad,"122,780",0.6,56.29,"117,080",0.4,29.47,38.09,50.21,68.20,#,"61,300","79,230","104,440","141,860",#,,
11-3121,Human Resources Managers,detailed,"122,780",0.6,56.29,"117,080",0.4,29.47,38.09,50.21,68.20,#,"61,300","79,230","104,440","141,860",#,,
23-1023,"Judges, Magistrate Judges, and Magistrates",detailed,"29,020",0.9,55.82,"116,100",0.8,17.66,30.19,61.03,75.21,89.77,"36,720","62,800","126,930","156,440","186,720",,
29-1040,Optometrists,broad,"35,300",2.5,55.65,"115,750",1.4,24.89,37.17,49.95,64.80,#,"51,780","77,310","103,900","134,790",#,,
29-1041,Optometrists,detailed,"35,300",2.5,55.65,"115,750",1.4,24.89,37.17,49.95,64.80,#,"51,780","77,310","103,900","134,790",#,,
15-1110,Computer and Information Research Scientists,broad,"25,510",3.9,55.57,"115,580",1.5,30.91,41.62,53.18,67.07,82.02,"64,300","86,570","110,620","139,510","170,610",,
15-1111,Computer and Information Research Scientists,detailed,"25,510",3.9,55.57,"115,580",1.5,30.91,41.62,53.18,67.07,82.02,"64,300","86,570","110,620","139,510","170,610",,
11-0000,Management Occupations,major,"6,936,990",0.2,55.30,"115,020",0.1,22.29,32.38,47.38,69.21,#,"46,370","67,350","98,560","143,950",#,,
17-2060,Computer Hardware Engineers,broad,"75,870",4.8,55.27,"114,970",1.4,31.52,41.49,53.72,67.92,80.34,"65,570","86,300","111,730","141,280","167,100",,
17-2061,Computer Hardware Engineers,detailed,"75,870",4.8,55.27,"114,970",1.4,31.52,41.49,53.72,67.92,80.34,"65,570","86,300","111,730","141,280","167,100",,
25-1071,"Health Specialties Teachers, Postsecondary",detailed,"178,900",2.4,*,"114,510",2.1,*,*,*,*,*,"41,090","59,660","90,840","149,570",#,TRUE,
11-3060,Purchasing Managers,broad,"72,600",0.9,54.87,"114,130",0.4,29.25,38.40,51.98,66.87,83.15,"60,830","79,860","108,120","139,080","172,950",,
11-3061,Purchasing Managers,detailed,"72,600",0.9,54.87,"114,130",0.4,29.25,38.40,51.98,66.87,83.15,"60,830","79,860","108,120","139,080","172,950",,
11-2010,Advertising and Promotions Managers,broad,"29,340",2.6,54.62,"113,610",1.7,20.40,30.18,46.10,69.68,#,"42,440","62,780","95,890","144,930",#,,
11-2011,Advertising and Promotions Managers,detailed,"29,340",2.6,54.62,"113,610",1.7,20.40,30.18,46.10,69.68,#,"42,440","62,780","95,890","144,930",#,,
15-2020,Mathematicians,broad,"3,170",7.9,54.11,"112,560",2.2,27.02,39.23,53.42,67.08,80.41,"56,200","81,590","111,110","139,520","167,250",,
15-2021,Mathematicians,detailed,"3,170",7.9,54.11,"112,560",2.2,27.02,39.23,53.42,67.08,80.41,"56,200","81,590","111,110","139,520","167,250",,
11-3130,Training and Development Managers,broad,"31,430",1.3,53.69,"111,680",0.7,26.85,36.49,49.35,65.13,86.71,"55,850","75,900","102,640","135,480","180,360",,
11-3131,Training and Development Managers,detailed,"31,430",1.3,53.69,"111,680",0.7,26.85,36.49,49.35,65.13,86.71,"55,850","75,900","102,640","135,480","180,360",,
11-9190,Miscellaneous Managers,broad,"376,440",0.6,53.47,"111,230",0.4,25.89,36.79,50.41,65.35,81.70,"53,850","76,530","104,850","135,930","169,940",,
11-9199,"Managers, All Other",detailed,"376,440",0.6,53.47,"111,230",0.4,25.89,36.79,50.41,65.35,81.70,"53,850","76,530","104,850","135,930","169,940",,
17-2010,Aerospace Engineers,broad,"66,980",3.2,53.16,"110,570",0.7,32.62,40.41,51.84,64.16,76.30,"67,850","84,040","107,830","133,460","158,700",,
17-2011,Aerospace Engineers,detailed,"66,980",3.2,53.16,"110,570",0.7,32.62,40.41,51.84,64.16,76.30,"67,850","84,040","107,830","133,460","158,700",,
15-2010,Actuaries,broad,"19,770",3.6,53.15,"110,560",1.3,28.02,35.10,46.67,65.45,86.78,"58,290","73,010","97,070","136,130","180,500",,
15-2011,Actuaries,detailed,"19,770",3.6,53.15,"110,560",1.3,28.02,35.10,46.67,65.45,86.78,"58,290","73,010","97,070","136,130","180,500",,
19-2011,Astronomers,detailed,"1,760",6.1,52.99,"110,220",3.8,25.22,33.02,50.05,71.11,79.96,"52,460","68,680","104,100","147,900","166,320",,
19-3010,Economists,broad,"19,090",4.0,52.51,"109,230",1.5,25.26,34.07,47.68,64.46,85.08,"52,540","70,870","99,180","134,080","176,960",,
19-3011,Economists,detailed,"19,090",4.0,52.51,"109,230",1.5,25.26,34.07,47.68,64.46,85.08,"52,540","70,870","99,180","134,080","176,960",,
15-1133,"Software Developers, Systems Software",detailed,"390,750",1.4,52.29,"108,760",0.7,31.06,39.62,50.76,63.30,76.85,"64,600","82,410","105,570","131,670","159,850",,
17-2150,"Mining and Geological Engineers, Including Mining Safety Engineers",broad,"8,000",6.1,51.87,"107,880",3.9,26.05,33.55,45.21,61.54,86.83,"54,180","69,780","94,040","128,010","180,600",,
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,"8,000",6.1,51.87,"107,880",3.9,26.05,33.55,45.21,61.54,86.83,"54,180","69,780","94,040","128,010","180,600",,
41-9030,Sales Engineers,broad,"72,200",2.3,51.52,"107,160",0.9,26.58,34.89,46.95,62.47,79.45,"55,280","72,560","97,650","129,930","165,250",,
41-9031,Sales Engineers,detailed,"72,200",2.3,51.52,"107,160",0.9,26.58,34.89,46.95,62.47,79.45,"55,280","72,560","97,650","129,930","165,250",,
25-1063,"Economics Teachers, Postsecondary",detailed,"13,580",1.7,*,"106,980",1.3,*,*,*,*,*,"45,220","65,170","94,000","130,180","184,240",TRUE,
11-9110,Medical and Health Services Managers,broad,"314,950",0.6,50.99,"106,070",0.4,27.03,34.86,45.43,59.49,79.51,"56,230","72,510","94,500","123,740","165,380",,
11-9111,Medical and Health Services Managers,detailed,"314,950",0.6,50.99,"106,070",0.4,27.03,34.86,45.43,59.49,79.51,"56,230","72,510","94,500","123,740","165,380",,
17-2160,Nuclear Engineers,broad,"16,880",5.0,50.99,"106,060",1.4,32.04,39.72,49.49,59.10,73.18,"66,650","82,630","102,950","122,930","152,220",,
17-2161,Nuclear Engineers,detailed,"16,880",5.0,50.99,"106,060",1.4,32.04,39.72,49.49,59.10,73.18,"66,650","82,630","102,950","122,930","152,220",,
19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,"31,800",2.9,50.83,"105,720",1.7,22.72,29.82,43.13,61.26,#,"47,250","62,030","89,700","127,420",#,,
25-1070,"Health Teachers, Postsecondary",broad,"236,290",1.9,*,"104,470",1.9,*,*,*,*,*,"41,220","57,190","81,470","129,250",#,TRUE,
25-1032,"Engineering Teachers, Postsecondary",detailed,"37,270",1.7,*,"104,220",1.2,*,*,*,*,*,"46,460","68,170","95,060","129,570","171,330",TRUE,
17-2040,Chemical Engineers,broad,"32,230",2.7,49.98,"103,960",0.9,28.59,36.35,46.81,59.96,75.56,"59,470","75,600","97,360","124,710","157,160",,
17-2041,Chemical Engineers,detailed,"32,230",2.7,49.98,"103,960",0.9,28.59,36.35,46.81,59.96,75.56,"59,470","75,600","97,360","124,710","157,160",,
11-3050,Industrial Production Managers,broad,"169,390",0.7,49.87,"103,720",0.4,27.23,34.72,45.17,59.52,78.00,"56,640","72,210","93,940","123,800","162,240",,
11-3051,Industrial Production Managers,detailed,"169,390",0.7,49.87,"103,720",0.4,27.23,34.72,45.17,59.52,78.00,"56,640","72,210","93,940","123,800","162,240",,
23-0000,Legal Occupations,major,"1,062,370",0.5,49.74,"103,460",0.6,17.41,24.31,37.58,65.22,#,"36,210","50,560","78,170","135,660",#,,
23-1020,"Judges, Magistrates, and Other Judicial Workers",broad,"49,990",1.0,49.71,"103,390",1.0,17.61,27.12,48.01,68.72,85.14,"36,630","56,410","99,870","142,940","177,090",,
19-3094,Political Scientists,detailed,"3,910",8.2,49.62,"103,210",2.6,22.70,32.05,47.95,66.77,78.12,"47,210","66,670","99,730","138,870","162,500",,
15-1143,Computer Network Architects,detailed,"146,600",1.5,49.57,"103,100",0.5,27.03,36.17,48.19,60.95,74.64,"56,230","75,220","100,240","126,780","155,250",,
41-3030,"Securities, Commodities, and Financial Services Sales Agents",broad,"319,280",1.2,49.45,"102,860",1.4,15.71,19.43,34.40,65.11,#,"32,680","40,410","71,550","135,430",#,,
41-3031,"Securities, Commodities, and Financial Services Sales Agents",detailed,"319,280",1.2,49.45,"102,860",1.4,15.71,19.43,34.40,65.11,#,"32,680","40,410","71,550","135,430",#,,
11-9033,"Education Administrators, Postsecondary",detailed,"135,690",1.0,49.33,"102,610",0.7,24.15,31.45,42.59,59.28,83.79,"50,240","65,410","88,580","123,310","174,280",,
53-2020,Air Traffic Controllers and Airfield Operations Specialists,broad,"31,050",1.8,49.32,"102,580",1.4,20.23,31.31,48.05,66.70,80.16,"42,070","65,130","99,940","138,740","166,730",,
17-2072,"Electronics Engineers, Except Computer",detailed,"135,390",1.8,49.23,"102,390",0.5,30.50,37.26,47.24,58.68,73.07,"63,430","77,490","98,270","122,060","151,990",,
15-1132,"Software Developers, Applications",detailed,"747,730",1.4,49.12,"102,160",1.1,27.57,36.14,47.24,59.81,73.90,"57,340","75,160","98,260","124,400","153,710",,
27-1011,Art Directors,detailed,"34,690",2.0,49.03,"101,990",0.9,22.75,30.57,43.15,60.63,83.13,"47,320","63,590","89,760","126,110","172,900",,
29-1170,Nurse Practitioners,broad,"136,060",1.3,48.68,"101,260",0.4,33.91,40.80,47.21,56.26,65.30,"70,540","84,860","98,190","117,020","135,830",,
29-1171,Nurse Practitioners,detailed,"136,060",1.3,48.68,"101,260",0.4,33.91,40.80,47.21,56.26,65.30,"70,540","84,860","98,190","117,020","135,830",,
25-1030,"Engineering and Architecture Teachers, Postsecondary",broad,"44,610",2.0,*,"101,040",1.1,*,*,*,*,*,"44,170","64,850","91,610","126,050","167,490",TRUE,
17-2120,Marine Engineers and Naval Architects,broad,"7,600",5.8,48.12,"100,090",2.1,29.38,35.59,44.76,56.77,71.80,"61,110","74,030","93,110","118,070","149,330",,
17-2121,Marine Engineers and Naval Architects,detailed,"7,600",5.8,48.12,"100,090",2.1,29.38,35.59,44.76,56.77,71.80,"61,110","74,030","93,110","118,070","149,330",,
13-2050,Financial Analysts and Advisors,broad,"555,900",0.9,47.95,"99,730",0.6,20.89,27.77,38.15,56.18,#,"43,450","57,770","79,350","116,860",#,,
17-2070,Electrical and Electronics Engineers,broad,"313,970",1.1,47.85,"99,520",0.4,29.28,36.05,45.78,57.61,71.77,"60,900","74,970","95,230","119,830","149,280",,
29-1070,Physician Assistants,broad,"98,470",1.6,47.73,"99,270",0.5,30.17,40.15,47.20,56.83,67.09,"62,760","83,520","98,180","118,200","139,540",,
29-1071,Physician Assistants,detailed,"98,470",1.6,47.73,"99,270",0.5,30.17,40.15,47.20,56.83,67.09,"62,760","83,520","98,180","118,200","139,540",,
29-1130,Veterinarians,broad,"65,650",1.5,47.59,"99,000",1.1,25.58,33.31,42.54,56.24,76.09,"53,210","69,280","88,490","116,970","158,260",,
29-1131,Veterinarians,detailed,"65,650",1.5,47.59,"99,000",1.1,25.58,33.31,42.54,56.24,76.09,"53,210","69,280","88,490","116,970","158,260",,
19-2090,Miscellaneous Physical Scientists,broad,"21,130",1.8,47.23,"98,240",2.3,22.89,31.90,46.70,59.41,73.98,"47,620","66,360","97,130","123,580","153,880",,
19-2099,"Physical Scientists, All Other",detailed,"21,130",1.8,47.23,"98,240",2.3,22.89,31.90,46.70,59.41,73.98,"47,620","66,360","97,130","123,580","153,880",,
17-2190,Miscellaneous Engineers,broad,"125,460",1.3,47.19,"98,150",0.5,25.01,34.11,46.11,59.06,72.52,"52,010","70,960","95,900","122,840","150,830",,
17-2199,"Engineers, All Other",detailed,"125,460",1.3,47.19,"98,150",0.5,25.01,34.11,46.11,59.06,72.52,"52,010","70,960","95,900","122,840","150,830",,
15-1130,Software Developers and Programmers,broad,"1,554,960",0.8,47.08,"97,930",0.8,25.04,33.78,45.23,58.50,72.79,"52,090","70,260","94,080","121,670","151,400",,
11-9020,Construction Managers,broad,"239,640",1.0,46.88,"97,510",0.5,25.17,32.06,42.02,56.45,74.61,"52,350","66,680","87,400","117,420","155,200",,
11-9021,Construction Managers,detailed,"239,640",1.0,46.88,"97,510",0.5,25.17,32.06,42.02,56.45,74.61,"52,350","66,680","87,400","117,420","155,200",,
17-2071,Electrical Engineers,detailed,"178,580",1.5,46.80,"97,340",0.4,28.48,35.20,44.71,56.70,70.59,"59,240","73,220","93,010","117,930","146,820",,
29-1000,Health Diagnosing and Treating Practitioners,minor,"4,960,900",0.4,46.65,"97,030",0.2,23.20,28.34,36.90,53.05,84.32,"48,260","58,940","76,760","110,350","175,390",,
13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",broad,"13,230",4.4,46.06,"95,810",5.3,13.49,19.27,30.26,53.54,#,"28,060","40,080","62,940","111,370",#,,
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,"13,230",4.4,46.06,"95,810",5.3,13.49,19.27,30.26,53.54,#,"28,060","40,080","62,940","111,370",#,,
11-9000,Other Management Occupations,minor,"2,185,950",0.3,45.85,"95,360",0.2,20.00,28.47,41.29,57.51,76.29,"41,600","59,210","85,880","119,620","158,690",,
13-2051,Financial Analysts,detailed,"268,360",1.3,45.83,"95,320",0.9,23.77,29.64,38.61,53.07,77.29,"49,450","61,650","80,310","110,390","160,760",,
25-1041,"Agricultural Sciences Teachers, Postsecondary",detailed,"9,680",3.8,*,"95,280",1.4,*,*,*,*,*,"46,680","66,930","90,780","118,080","149,960",TRUE,
17-2000,Engineers,minor,"1,610,480",0.6,45.79,"95,240",0.3,26.50,33.50,43.30,55.59,69.87,"55,110","69,680","90,060","115,620","145,320",,
11-3070,"Transportation, Storage, and Distribution Managers",broad,"109,210",1.1,45.74,"95,130",0.5,24.44,31.76,41.65,55.02,72.00,"50,840","66,060","86,630","114,440","149,770",,
11-3071,"Transportation, Storage, and Distribution Managers",detailed,"109,210",1.1,45.74,"95,130",0.5,24.44,31.76,41.65,55.02,72.00,"50,840","66,060","86,630","114,440","149,770",,
19-2032,Materials Scientists,detailed,"6,790",4.1,45.64,"94,940",1.3,22.95,32.03,43.75,57.32,71.79,"47,740","66,610","91,000","119,220","149,310",,
11-3010,Administrative Services Managers,broad,"270,080",0.8,45.60,"94,840",0.3,22.32,30.38,41.40,56.06,73.83,"46,430","63,200","86,110","116,600","153,570",,
11-3011,Administrative Services Managers,detailed,"270,080",0.8,45.60,"94,840",0.3,22.32,30.38,41.40,56.06,73.83,"46,430","63,200","86,110","116,600","153,570",,
17-2130,Materials Engineers,broad,"27,040",3.8,45.53,"94,690",1.4,25.54,33.43,43.90,56.77,69.57,"53,120","69,530","91,310","118,070","144,720",,
17-2131,Materials Engineers,detailed,"27,040",3.8,45.53,"94,690",1.4,25.54,33.43,43.90,56.77,69.57,"53,120","69,530","91,310","118,070","144,720",,
25-1054,"Physics Teachers, Postsecondary",detailed,"14,310",1.7,*,"93,950",1.4,*,*,*,*,*,"45,220","59,700","82,840","116,070","156,280",TRUE,
19-1042,"Medical Scientists, Except Epidemiologists",detailed,"104,440",3.3,45.06,"93,730",1.4,21.40,27.71,39.54,55.98,74.60,"44,510","57,640","82,240","116,430","155,180",,
29-1160,Nurse Midwives,broad,"7,430",4.4,45.01,"93,610",2.9,24.19,35.32,44.48,54.01,63.59,"50,310","73,460","92,510","112,340","132,270",,
29-1161,Nurse Midwives,detailed,"7,430",4.4,45.01,"93,610",2.9,24.19,35.32,44.48,54.01,63.59,"50,310","73,460","92,510","112,340","132,270",,
19-1021,Biochemists and Biophysicists,detailed,"30,800",4.6,44.90,"93,390",1.7,21.46,28.18,39.50,55.60,73.95,"44,640","58,620","82,150","115,640","153,810",,
15-1122,Information Security Analysts,detailed,"88,880",2.1,44.83,"93,250",0.6,24.65,32.64,43.33,55.76,69.12,"51,280","67,890","90,120","115,980","143,770",,
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,"14,590",0.7,44.78,"93,140",0.9,19.36,29.33,43.56,57.74,76.30,"40,270","61,010","90,600","120,100","158,700",,
19-3039,"Psychologists, All Other",detailed,"12,400",2.3,44.73,"93,050",2.4,20.54,33.74,45.47,52.16,59.96,"42,710","70,180","94,590","108,500","124,720",,
11-9032,"Education Administrators, Elementary and Secondary School",detailed,"235,110",0.6,*,"92,940",0.5,*,*,*,*,*,"59,070","72,380","90,410","111,820","131,310",TRUE,
19-1040,Medical Scientists,broad,"109,900",3.1,44.66,"92,900",1.3,21.44,27.64,38.97,55.40,73.97,"44,590","57,490","81,060","115,230","153,850",,
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detailed,"10,890",2.3,*,"92,540",1.3,*,*,*,*,*,"42,850","59,280","83,150","116,530","152,310",TRUE,
19-3032,Industrial-Organizational Psychologists,detailed,990,14.1,44.38,"92,320",3.5,25.13,31.70,37.19,53.24,76.44,"52,270","65,940","77,350","110,740","158,990",,
25-1010,"Business Teachers, Postsecondary",broad,"84,890",2.4,*,"92,220",1.2,*,*,*,*,*,"35,370","49,770","75,370","116,740","170,640",TRUE,
25-1011,"Business Teachers, Postsecondary",detailed,"84,890",2.4,*,"92,220",1.2,*,*,*,*,*,"35,370","49,770","75,370","116,740","170,640",TRUE,
13-1110,Management Analysts,broad,"614,110",0.9,44.12,"91,770",0.5,22.10,29.06,39.10,52.73,72.22,"45,970","60,450","81,320","109,670","150,220",,
13-1111,Management Analysts,detailed,"614,110",0.9,44.12,"91,770",0.5,22.10,29.06,39.10,52.73,72.22,"45,970","60,450","81,320","109,670","150,220",,
