title,mediaType,eps,duration,startYr,finishYr,description,contentWarn,watched,watching,rating,votes,studio_primary,studios_colab,genre
Katsugeki! Touken Ranbu,TV,13,5,2017,2017,"The year is 1863 as the tumultuous samurai era is coming to an end, Japan is split between the pro-shogunate and anti-shogunate factions. The fate of the world is threatened as an army of historical revisionists are sent from the future to alter the course of history. In order to bring these forces down and protect the real history, two sword warriors, spirits who are swords brought to life by Saniwa (sage), rush to Edo. The polite and thoughtful Horikawa Kunihiro and the short tempered yet skillful Izuminokami Kanesada, who served the same master, confront the invading army along with a lively gang of other warriors including Mutsunokami Yoshiyuki, Yagen Toushirou, Tombokiri, and Tsurumaru Kuninaga.",No,1512,199,3.21,1532,Others,No,Other
Symphogear G,TV,13,5,2013,2013,"Peace had seemed to return to the world when Hibiki, Tsubasa, and Chris had saved the planet from the Luna Attack with their song. However, 3 months later at a joint concert between Tsubasa Kazanari and foreign superstar Maria Cadenzavna Eve, the Symphogear team is faced with her dangerous declaration of war against the world. Maria and her allies Kirika and Shirabe have a fearful power backing them: The power of a dark Symphogear.",Yes,2092,199,3.761,1570,Others,No,Other
Sakura Taisen: Sumire,OVA,1,25,2002,2002,"During a pitched battle against the demons threatening the Imperial Capital, Sumire Kanzaki of the Flower Division feels her spiritual powers weakening without hope of recovery. However, Sumire's pride as a warrior and a performer will not let her fade away like a flickering candle. Rather, she elects to retire from fighting and from acting while her flame still blazes brightly. But before taking up a new position with her father's Kanzaki Heavy Industries Group, she sings one last song in a farewell performance dedicated to the fans and co-stars who have been with her all this time.",No,367,9,2.713,183,Others,No,Other
Ojamajo Doremi DOKKAAN!,TV,34,5,2002,2003,"Determined to stay close to the girls who raised her when she lived in the Human World, Hana-chan bursts her magic crystals to perform an extremely powerful spell that makes her look as old as her adoptive mothers. The loss of her magic crystals means that she is not officially a witch anymore. To handle this enormous problem, the Witch Queen asks Doremi, Hazuki, Aiko, Onpu, and Momoko to take care of the new older-looking Hana-chan in their world for the moment. In the meantime, the little former sorceress will have to complete the witch apprentice exams in order to attain a magic crystal and hopefully become a witch once again.",No,828,50,3.736,480,Toei Animation,No,Other
Ogre Slayer,OVA,4,25,1994,1995,"There was once an ogre mother who gave birth to a human looking child. Instead of an ogre's horn, this child was born with a sword in hand called the ""Onigirimaru"" or Ogre Slayer. He has no name and is only refered to by the name of his sword. Believing that he will become human once all of his kind vanished from the world of humans, he sets out on his destiny to slay all ogres. ",Yes,210,10,2.947,134,Others,No,Other
Acerola-chan,Web,3,3,2009,2009,,No,25,1,1.694,16,Others,No,Other
Koneko no Studio,Movie,1,16,1967,1970,,No,125,4,2.743,79,Toei Animation,No,Other
Suddenly Princess,OVA,3,34,1997,1998,"Lapis is the pudding-loving princess of Sorcerland, as well as the wielder of the Magic Eraser's extraordinary power, allowing her to erase anything she desires at will! Given her unique and inappropriate uses of the eraser, her royal parents decide to teach her a lesson, magically sending her to the faraway Silver Lake to ponder her past misdeeds. But the road home is long and full of unexpected surprises such as a blessed pudding forest, the Health Brother Trio, and Topaz, the great witch of the west and collector of little girls, who wants Lapis for her own personal prize!",No,281,13,2.893,186,J.C. Staff,No,Other
Lupin III Special 27: Goodbye Partner,TV Special,1,67,2019,2019,,No,138,10,3.824,95,TMS Entertainment,No,Action
Doukoku no Nightmare,Web,16,10,2012,2015,,No,30,17,2.172,17,Others,No,Other
Mai no Mahou to Katei no Hi,TV Special,1,20,2011,2011,"Tatsumi Mai has magic powers, which she uses to understand the feelings of people.",No,136,3,2.025,104,Others,No,Other
Mobile Suit Gundam Battlefield Record: Avant-Title,,1,,2009,2009,"On December 31, U.C. 0079, the Earth Federation and the Principality of Zeon engage in the final battle of the One Year War at the Zeon space fortress A Baoa Qu. Federation pilot Hugues Courand and Zeon ace Erik Blanke experience the horrors of the battle by witnessing the destruction of their respective mobile suit squads.",No,24,0,2.303,,Sunrise,No,Other
Tsubasa Reservoir Chronicle: Tokyo Revelations,OVA,3,,2007,2008,"After defeating the evil Chaos, Syaoran and the gang have arrived in what appears to be an apocalyptic and run-down Tokyo – a city in which acid rain has destroyed the buildings and taken numerous lives. The atmosphere is ripe with tension, as the city’s remaining survivors have formed clans in hopes of protecting the underground wells from other clans and strangers alike – strangers like Syaoran and friends. With Sakura’s remaining feathers being located in the wells and opposition at every turn, the feathers’ retrieval seems dire, and Syaoran will finally face his most dangerous enemy...",No,4649,199,4.397,3100,Production I.G,No,Adventure
Ganbare! Kickers,TV,23,12,1986,1987,"Failure has a new name: the ""never-winning"" Kickers. Having lost every match and scored zero goals, the downtrodden soccer team can’t find a single team to play against them. With low spirits, the Kickers are on the verge of breaking up – that is, until the high-spirited and energetic Daichi joins the team! Determined and filled with hope, Daichi organizes a match against the Devils – the strongest team around – in an attempt to revitalize the Kickers and stop the breakup; and thus, the Kickers take their first steps towards a better future. For their friends, for love, for joy, and for the ball!",No,931,22,3.192,628,Studio Pierrot,No,Other
Pokemon: Monmon Metamon,Music Video,1,4,2017,2017,,No,64,0,2.246,30,Others,No,Other
Beast Wars II Chou Seimeitai Transformers Movie,Movie,1,47,1998,1998,,No,372,6,2.804,181,Others,No,Other
BASToF Syndrome,TV,26,5,2001,2001,"The year is 2097. In the city of Xenon the ulimate cyber game has been created. Players battle and fight against the game as bio-mechanical robots. Then something goes wrong. Somehow, the game's virtual space and the real world become linked. Damages that occur during the battles in the virtual space create havoc in the city. All this begins when the players hear a piercing scream, see the ghostly face of a little girl and a powerful scent of lemon overcomes them. To solve this mystery, the creator of the game assembles a ""Dream Team"" of the top three young gamers in Xenon's Hall of Fame. This active team of rebellious, arrogant teens must overcome their attitudes and fears to find the answers to the mystery that is much bigger than the game.",No,29,5,2.596,19,Others,No,Other
The Mystic Archives of Dantalian,TV,12,5,2011,2011,"After his grandfather’s untimely death, Hugh Anthony Disward visits the estate of his inheritance where he discovers a library that’s out of this world. Embodying the archive is Dalian, a clever girl with a sharp tongue as biting as her sweet tooth. Circumstance leads to necessity, and she teaches Huey how to harness the power within—a handy trick to learn, seeing as it’s the only way to subdue the monsters brought forth by magical works of literature.",Yes,4649,199,3.691,3100,Others,No,Other
Ghost Sweeper Mikami,TV,34,5,1993,1994,"The sexy and money-hungry Reiko Mikami is a ghost sweeper - a person who defeats monsters and evil spirits that cause harm to people. Along with her loyal assistant Tadao Yokoshima and the human-sacrifice-turned-spirit Okinu, Reiko will take whatever job necessary to gain a few yen. From putting a stop to psychotic dolls to foiling bank robberies, there's nothing the poltergeist-thwarting gang can't handle!",No,1033,83,3.297,699,Toei Animation,No,Other
Mushi-P: Cirque le coeur,Music Video,1,3,2015,2015,,No,25,0,2.271,13,Others,No,Other
You're Under Arrest! No Mercy!!,TV Special,1,24,2002,2002,"Miyuki and Natsumi are back -- but in a new location: sunny California in the west coast of the USA. With traffic problems abounding, the girls were called in to help the Los Angeles Police Department (aka the LAPD) solve the city's sticky dilemmas, but there's one growing problem that has everyone concerned: car thieves! Luxury cars in particular are being stolen, re-tuned, and then sold on the black market. And when Miyuki's own Mustang Fastback is nabbed, it becomes personal. Now, there will be no mercy, no more padded globes, and no more Ms. Nicegirl!",No,1160,15,3.519,583,Studio Deen,No,Other
The Dino King,Movie,1,67,2012,2012,"Meet Speckles. He's a Tarbosaurus, and lives a happy life in his forest home with his mom and siblings. Until one day, as he's just learning to hunt, he encounters One-Eye, a Tyrannosaur looking for a new place to live. His herd is attacked, leaving poor Speckles alone in the world. But when he meets Blue Eyes, another lonely and lost Tarbosaur, they become close companions - and then, over time, a family of their own.",No,24,1,2.334,12,Others,No,Other
91 Daze,DVD Special,7,2,2016,2017,,No,163,7,2.478,98,Others,No,Comedy
Usaru-san,TV Special,4,3,2009,2009,"Usa is a regular rabbit; he has normal interests, his fur isn’t exceptionally special in any way, and he enjoys watching superhero cartoons on TV. However, when this young bunny dons his super-special monkey costume and eats a banana, he becomes the ally of justice, Usaru-san! Now, for just one hour each day, he travels the town in order to find those in need of help. Whether he’s clearing the streets of litter or retrieving a young girl’s balloon, no job is too big or too small for the brave hero, Usaru-san!",No,186,5,2.345,127,OLM,No,Other
Crusher Joe,OVA,2,59,1989,1989,"In the 22nd century, mankind has expanded into outer space. However, it was the Crushers who paved the way, performing jobs that ranged from terraforming to asteroid busting, warp lane plotting to transportation. These days, the Crushers still accept jobs of all kinds, so long as they're legal and ethical, and Crusher Joe's team is the best in the business! Joe, Alfin, Ricky, and Talos, along with the robot Dongo, take on jobs that require all the tools, tricks, and knowledge that the Crushers are known for. Of course, no job ever goes as expected. Whether it's rescuing prisoners trapped on an icy asteroid in a decaying orbit, or extracting a military officer charged with the safe keeping of a weapon of mass destruction from the clutches of insurrectionists, it's all part of the job to a Crusher, and that's before the mission goes sideways! ",Yes,227,8,3.216,156,Sunrise,No,Other
Nemuranu Machi no Cinderella: Hirose Ryouichi - Memorial Date,Web,1,3,2012,2012,,No,29,1,2.074,15,Others,No,Romance
Magical Girl Pretty Sammy Specials,DVD Special,6,3,1997,1997,,No,146,6,2.581,75,Others,No,Other
Lupin III vs Detective Conan: The Movie,Movie,1,67,2013,2013,"Conan's attempt to stop Kid from stealing another jewel brought him face-to-face with Lupin and his gang. Meanwhile, Emilio Baretti, a famous Italian singer arrived in Japan with his entourage for a concert that is in danger of being cancelled because of an anonymous threat. As the cases come together, Conan has to solve the underlying cause of unwanted developments unfolding after their arrival.",No,1548,17,4.277,1001,TMS Entertainment,No,Action
A crow is white: fake!fake!,Music Video,1,3,2014,2014,,No,222,3,2.734,143,Others,No,Other
Yuyushiki,TV,12,5,2013,2013,"Yui, Yukari and Yuzuko have just entered high school, eager to have a great time. They quickly become the sole members of the Data Processing Club, using the computers frequently to look up information and find interesting videos. Whether they're debating the merits of sauce on curry bread, trying to determine how some women manage to have huge breasts or dealing with the sweltering heat, these three friends will also manage to have fun in the process. ",No,2975,199,3.644,2570,Others,No,Other
Accel World,TV,24,8,2012,2012,"In a world where everyone connects to an online network, pudgy Haruyuki Arita can't seem to catch a break. Constantly bullied, afraid to face reality and paranoid his two childhood friends pity him, the teenager uses online games as a way to escape his problems. But things change one day when Haruyuki's beautiful upperclassman Kuroyukihime approaches him with a mysterious time-decelerating program known as Brain Burst - there‘s just one catch. To keep the ability, he must defeat other Brain Burst wielders in Accel World, an exclusive, virtual MMORPG, and the newbie player will need all the help he can get. Eager to prove he's not a pathetic weakling, Haruyuki joins forces with Kuroyukihime to challenge fierce competitors and discover just how incredible Accel World and he truly are.",Yes,4649,199,3.933,3100,Sunrise,No,Other
Maaya Sakamoto: Shikisai,Other,1,2,2015,2015,,No,155,7,2.817,85,A-1 Pictures,No,Other
Sougen no Ko Tenguri,Movie,1,22,1977,1977,"The story surrounds a boy and a bull who have always lived their lives together. One winter, a famine strikes their village. The villagers resolve to eat the bull, but the boy secretly helped the bull escape. A few years later, the boy and the bull meet again...",No,94,1,2.521,62,Others,No,Other
Notation of Rotating Earth,Movie,1,6,2009,2009,,No,18,0,1.597,12,Others,No,Other
Night Raid 1931: The Shipboard Shoot's Conclusion,DVD Special,1,25,2010,2010,"Members of the Sakurai Kikan agency board a ship bound for Shanghai. Their first assignment is to investigate a movie company led by Senzo Kakinuma: a man believed to have ties to the criminal organization known as the Green Gang. Women who were scouted to be new actresses for the company have been mysteriously disappearing, and it’s up to Sakurai Kikan’s agents to figure out why.",Yes,583,5,3.479,364,A-1 Pictures,No,Other
Kuro Nyago,Movie,1,3,1967,1970,"Spring has arrived, and beautiful cherry blossoms line the trees. Under their branches dances a black cat and a variety of new friends, including lively people, and even another cat! Together, they dance the day away.",No,379,3,1.932,257,Others,No,Other
Memories,OVA,3,38,1995,1995,"This set of 3 fantastic stories will take you from the haunting delusions of a space explorer, to a bio-chemical threat with the power to wipe out all of Tokyo, and finally to a day in the life of a young boy who lives in a world ruled by cannons. These stores will capture you with their intriguing storylines and awe inspiring artwork.",No,4649,111,4.027,3100,MADHOUSE,Yes,Other
Zekkyou Gakkyuu,TV Special,3,2,2012,2012,"The screaming lessons, a guide to the dark world behind our everyday life. No textbooks or pencils are needed, only courage...",No,253,5,1.934,161,Others,No,Other
Toshi: Cherry Blossom,Other,1,1,2013,2013,A short video advertising the release of Toshl's album Cherry Blossom.,No,34,1,1.586,26,Others,No,Other
Jungle Emperor Leo Movie,Movie,1,67,1997,1997,"Under the reign of Kimba the white lion king, his little family and the help of some other animals (including the lazy elephants), the jungle and its people were at peace. But when humans suddenly arrive in search of the legendary Moonlight Stones, life becomes more complicated for the gentle creatures of nature. Now, Kimba must set forth to find the stones, find the cause of a mysterious illness affecting his kingdom, and above all else, find his missing son who had left to visit the human civilization, unaware of the danger he was walking into...",No,599,6,3.624,377,Others,Yes,Other
sola Specials,DVD Special,2,24,2007,2007,,No,1328,20,3.347,906,Others,No,Other
Deadman Wonderland: The Red Knife Wielder,OVA,1,25,2011,2011,"Before Senji Kiyomasa was a prisoner at Deadman Wonderland, he was a police officer, using his Branches of Sin powers to put a stop to criminals that stood in his way. After helping an orphan escape the clutches of a notorious local gang called Goreless Peace, Senji finds himself courted by Keigo, the very mastermind behind the violence. But little does he know that his refusal to join forces with evil will have dire consequences...",Yes,4649,118,3.647,3100,Others,No,Other
Utawarerumono Picture Drama,DVD Special,3,18,2009,2010,,No,720,15,3.03,405,Others,No,Fantasy
Kouchuu Ouja Mushiking: Mori no Tami no Densetsu,TV,34,,2005,2006,"Popo, and his family were harmoniously living with the insects in the forest until one day when his father left him and gave him a mysterious pendant with magical powers. Now, with mysterious events happened to his mother, he must travel with his newly found companions to the forest to solve the mysteries bound in the east.",No,39,7,3.178,32,TMS Entertainment,No,Adventure
Konjiki no Gash Bell!! Hashire Gash!! Ubawareta Umagon,OVA,1,26,2006,2006,,No,207,5,3.281,111,Toei Animation,No,Other
