ID,School,State,City,First,Last,Phone ,Tution ,
1059,Suncoast Trucking Academy,FL,Punta Gorda,Steve,Johnson,941-347-7445,"$46,000.00",
1060,TDI,FL,Milton & Sanford,Sherry,Hart,615-895-2070,"$57,400.00",
1061,TDI,FL,Sanford,Sherry,Hart,407-328-8000,"$58,100.00",
1062,The CDL School,FL,Miami,Al,Hanley,305-638-2200,"$54,400.00",
1063,Albany Technical College,GA,Albany,Derrick,Null,229-430-3500,"$57,200.00",
1064,Altamaha Tech,GA,Baxley,Larry,Null,912-367-1700,"$54,000.00",
1065,Altamaha Tech,GA,Brunswick,Larry,Null,912-280-4000,"$51,400.00",
1066,America's Driving Force,GA,Conley,David,Johnson,1-404-608-8608,"$53,700.00",
1067,Atlanta Technical College,GA,Atlanta,Ken,Null,(404) 225-4400,"$57,200.00",
1068,Athens Technical College,GA,Elberton,Randall,Andrews,,"$45,400.00",
1069,Athens Technical College,GA,Monroe,Randall,Andrews,,"$61,100.00",
1070,Bainbridge State College,GA,Bainbridge,Stanley,Williams,229-248-2530,"$57,400.00",
1071,CDL of Georgia,GA,Winder,Christina,Null,770-868-0021,"$56,000.00",
1072,Central / Middle GA. Technical College,GA,Warner Robbins,Brett,Cummings,478-988-7090,"$62,000.00",
1073,Coastal Pines Technical College,GA,Waycross,John,Logan,912-281-7538,"$53,900.00",
1074,Dalys Truck Driving School,GA,Buford,Stephanie,Null,770-614-6022,"$56,300.00",
1075,Georgia Driving Academy,GA,Columbus,David,Thompson,706-507-4429,"$56,300.00",
1076,Georgia Driving Academy,GA,Conyers,Brian,Barber,770-918-8501,"$52,600.00",
1077,Georgia Northwestern,GA,Rock Spring,Robert,Browder,706-764-3510,"$57,200.00",
1078,Georgia Piedmont Technical College,GA,Lithonia,Consiuela,Godden,404-297-9522ext4000,"$59,800.00",
1079,Katlaw Driving School,GA,Austell,Katie,Null,678-945-1900,"$48,800.00",
1080,Miller-Motte Technical College,GA,Columbus,Aaron,Chambers,706-225-5013,"$52,500.00",
1081,Miller-Motte Technical College,GA,Augusta,Jeffrey,Burkhardt,706-396-8040,"$55,000.00",
1082,Moultrie Technical aka Southern Regional Technical,GA,Tifton,Kerie,Wilson,229-391-2644,"$44,600.00",
1083,N. Metro Technical College / Chattahoochee Tech,GA,Acworth,Ray,Puckett,770-529-2357,"$41,900.00",
1084,North Georgia Technical College,GA,Clarksville,,Null,706-754-7836,"$45,500.00",
1085,Oconee Fall Line Technical,GA,Sandersville,Connie,Bland,478-274-7839,"$59,900.00",
1086,Oconee Fall Line Technical,GA,Dublin,Connie,Bland,478-274-7839,"$61,700.00",
1087,Oconee Fall Line Technical,GA,Louisville,Connie,Bland,478-274-7839,"$51,200.00",
1088,Ogechee Technical College,GA,Statesboro and Hayan,Tim,Ryder,912-739-2671,"$53,300.00",
1089,Savannah Technical,GA,Rincon,Tom,Amacher,912-657-7887,"$54,300.00",
1090,Southeastern Technical College,GA,Swainsboro,Ricky,Strange,912-537-0064,"$60,100.00",
1091,Southeastern Technical College,GA,Vidalia,Ricky,Strange,912-538-3100,"$51,600.00",
1092,Southern Crescent Technical College,GA,Jackson,Ronnie,Portwood,770-504-7197,"$52,100.00",
1093,Southern Crescent Technical College,GA,Thomaston,Chris,Harrell,706-646-6272,"$50,000.00",
1094,Southern Georgia Tech,GA,Americus,Ray,Holt,229-931-2976,"$57,600.00",
1095,TDI,GA,Forsyth,Sherry,Hart,615-895-2070,"$54,000.00",
1096,The CDL School AKA Troops for Transportation,GA,Ft Benning,Michele,Porreca,706-992-6080,"$52,800.00",
1097,West Georgia Tech ,GA,Newnan,Leonard,Hodge,770-755-7425,"$40,800.00",
1098,West Georgia Technical College ,GA,Carrollton,Terry,Turner,770- 836-6868,"$53,700.00",
1099,West Georgia Technical College ,GA,Lagrange,Pam,Burns,706-756-4682,"$44,600.00",
1100,Wiregrass Tech,GA,Valdosta,Rodney,Null,229-333-2100,"$60,300.00",
1101,Wiregrass Tech,GA,Douglas,Tommy,Ponsell,912-389-4300,"$52,800.00",
1102,Hawkeye Community College,IA,Waterloo,Mary,Fontes,319-296-4286,"$46,500.00",
1103,Iowa Central Community College,IA,Fort Dodge,Jeff,Frank,515-574-2793 ext 1967,"$54,800.00",
1104,Kirkwood Community College,IA,Cedar Rapids,Freddie,Jones,319-398-5690,"$58,300.00",
1105,Scott Community College,IA,Bettendorf,Ray,Hitchcock,563-441-4217,"$59,100.00",
1106,160 Driving Academy,IL,Peoria,Ernie,Walters,217-549-7648,"$45,800.00",
1107,160 Driving Academy,IL,Moline,Randy,Gates,309-764-4160,"$52,500.00",
1108,160 Driving Academy,IL,Belleville,Mike,Johnson,618-234-0160,"$45,300.00",
1109,160 Driving Academy,IL,Champaign,Linda,Peterson,217-353-2106,"$58,100.00",
1110,160 Driving Academy,IL,Chicago Heights,Kim,Cali,208-315-6300,"$44,700.00",
1111,160 Driving Academy,IL,Crest Hill,Kim,Cali,815-741-0160,"$55,400.00",
1112,160 Driving Academy,IL,Freeport,Shauna,Larson,815-496-6322,"$47,000.00",
1113,160 Driving Academy,IL,Rockford,Shauna,Larson,815-496-6322,"$54,500.00",
1114,Acapulco Driving School,IL,Bedford Park,Alfredo,Alvarez,773-581-7376,"$51,300.00",
1115,Advantage Driver Training,IL,Joliet,Matthew,Allen,815-577-2590,"$53,000.00",
1116,Alamo Truck Driving School,IL,Chicago,Daniella,Null,708-793-5511,"$45,600.00",
1117,Blue Horizon,IL,Chicago,Agnes,Null,773-788-1199,"$44,700.00",
1118,College of DuPage Truck Driving School  AKA DuPage Truck Driving,IL,Addison,Chris,Bell,630-942-2275,"$60,100.00",
1119,Columbia Driving School,IL,Chicago,Roman,Dzienisik,773-735-1775,"$55,200.00",
1120,Eagle Training Services (Harper College),IL,Lake in the Hill,Jennifer,Null,847-707-2804,"$43,200.00",
1121,Eagle Training Services (Harper College),IL,Prospect Hts,Jennifer,Null,847-707-2804,"$46,800.00",
1122,Eagle Training Services (Harper College),IL,Grayslake,Jennifer,Null,847-707-2804,"$44,700.00",
1123,Eagle Training Services (Harper College),IL,Rockford,Jennifer,Null,847-707-2804,"$45,000.00",
1124,Elgin Community College,IL,Elgin,Don,Anderson,847-214-7317,"$45,700.00",
1125,Expert Driving School,IL,Chicago,Katy,Null,312-829-2400,"$47,100.00",
1126,Heartland Community College - Truck Driver Training,IL,Normal,Scott,Smigel,309-268-8448,"$43,600.00",
1127,Illinois Central College,IL,E.Peoria,Connie,Null,309-694-8555,"$50,500.00",
1128,Illinois Valley Community College,IL,Oglesby,Bruce,Hartman,815-224-0266,"$45,300.00",
1129,John Wood Community College,IL,Quincy,Phillip,Steinkamp,217-224-6500,"$48,600.00",
1130,Joliet Junior College aka Advantage Driver Training,IL,Joliet,Sheila,Banarkwicz,815-280-6902,"$54,900.00",
1131,Juarez Driving School,IL,Chicago,Pedro,Vignettes,312-243-1841,"$45,100.00",
1132,Kaskaskia College ,IL,Centralia,Dean,Daum,618-532-0395,"$42,700.00",
1133,Kishwaukee College,IL,Malta,Joseph,Dahm,815-825-2086,"$46,700.00",
1134,Kotra CDL,IL,Park City,Leon,Dezyts,847-360-1616,"$45,400.00",
1135,Lakeland College,IL,Mattoon,Gary,Finch,217-238-8239,"$52,300.00",
1136,Lewis & Clark Community College,IL,Godfrey,Davey,&,618-468-5797,"$49,000.00",
1137,LincolnLand Community College,IL,Springfield,Bob,Howard,217-786-2565,"$41,500.00",
1138,Midwest Technical Institute,IL,Springfield,John,Stoltzenburg,217-527-8324,"$44,300.00",
1139,Midwest Technical Institute,IL,E. Peoria,John,Stoltzenburg,309-427-2754,"$41,400.00",
1140,Olive-Harvey (City Colleges of Chicago),IL,Chicago,Kassandra,Johnson,773-291-6501,"$43,400.00",
1141,Premier CDL Training  ,IL,Granite City,Rich,Lawson,618-797-1725,"$44,800.00",
1142,Premier CDL Training aka Joliet Junior College ,IL,Joliet,Ann,Bouza,815-727-0957,"$45,100.00",
1143,Presto Driving School,IL,Des Plaines,Joanne,Olech,847-288-3888,"$44,600.00",
1144,Professional TDS,IL,Summit,Bruce,Dahnke,708-554-1900,"$42,900.00",
1145,Progressive Truck Driving School,IL,Cicero,Barb,Bentkowska,773-736-5522,"$44,900.00",
1146,Progressive Truck Driving School,IL,Lansing,Barb,Bentkowska,773-736-5522,"$47,800.00",
1147,Rock Valley Community College,IL,Rockford,Dan,Null,815-966-1276,"$45,300.00",
1148,Sauk Valley Community College,IL,Dixon,Bruce,Hartman,815-224-0266,"$44,000.00",
1149,Shawnee Community College,IL,Ullin,Wade,Ralls,618-634-3286,"$41,400.00",
1150,South Suburban College c/o Star Truck,IL,South Holland,Tanya,Null,708-225-5884,"$49,500.00",
1151,Southeastern Illinois College,IL,Harrisburg,Kyla,Burford,618-252-5400,"$51,800.00",
1152,Spirit CDL Training,IL,Belvidere,Tanya,Null,815-332-7000,"$49,300.00",
1153,Star Truck Driving School,IL,Oswego,Kathy,Meyer,630-236-7200,"$47,600.00",
1154,Star Truck Driving School,IL,Hickory Hills,Ray,Cummins,708-267-3711,"$48,300.00",
1155,Viking Driving School,IL,Park Ridge,Ayad,Jacob,847-698-7771,"$42,900.00",
1156,Driveco ,IN,Gary,Brian,Lee,219-887-3880,"$52,800.00",
1157,Driver Solutions - C1,IN,Indianapolis,Rick,Curtis,317-791-2901,"$43,300.00",
1158,Ivy Tech Community College,IN,Evansville,,Null,,"$44,400.00",
1159,Ivy Tech Community College,IN,Lawrenceburg,Tina,Zent,812-537-4010,"$51,500.00",
1160,Safe Drivers Institute,IN,Indianapolis,Kathey,Morgan,317-260-5104,"$52,500.00",
1161,Sage Ivy Technical,IN,Indianapolis,Pam,Mount,317-247-5386,"$44,500.00",
1162,Sage Ivy Technical,IN,Muncie,Chris,Brown,800-589-8324,"$48,600.00",
1163,TDI,IN,Whiteland,Sherry,Hart,228-697-3553,"$46,300.00",
1164,TDI (Truck Driver Institute),IN,Sellersburg,Sherry,Hart,812-246-5515,"$65,400.00",
1165,TDI / CDI ,IN,South Bend,Sherry,Hart,800-882-7364,"$44,000.00",
1166,Vincennes University,IN,Plainfield,Dennis,Poteet,317-381-6025,"$53,900.00",
1167,Vincennes University,IN,Fort Branch,Jim,Thompson,812-890-4562,"$48,000.00",
1168,Fort Scott / KCK Community College,KS,Kansas City,Tom,Armstrong,620-224-0111,"$45,600.00",
1169,Fort Scott Community College,KS,Ft. Scott,Bonnie,Bailey,620-223-2700,"$41,100.00",
1170,White Line CDL Training,KS,Topeka,Vickie,Null,785-266-3230,"$40,800.00",
1171,Wichita Truck Driving School,KS,Wichita,Tandy,Noeller,316-838-3336,"$41,500.00",
1172,Big Sandy Community College,KY,Hagar Hill (Paintsville) KY,Leo,Fell,606-301-1326,"$42,500.00",
1173,Career Development Center,KY,London,Doug,Underwood,606-864-0411,"$57,100.00",
1174,CDL Training Services and Consulting Inc,KY,Elizabethtown,Krystal,Null,270-234-0431,"$57,500.00",
1175,CDL Training,KY,Paducah,Ginger,Null,270-444-8005,"$44,400.00",
1176,Cowboy's CDL School,KY,Lawrenceburg,Donald,Hawk,502-839-2696,"$45,000.00",
1177,Dr Bodene,KY,Winchester,Glenn,Johnson,859-771-7125,"$42,200.00",
1178,Earle C Clements Job Corp Academy,KY,Morganfield,Nich,Haw,270-389-5312,"$41,400.00",
1179,Gateway Community,KY,Fort Worth,Greg,Hall,,"$40,400.00",
1180,Hopkinsville Community College,KY,Hopkinsville,Carrie,McGinnis,270-707-3743,"$40,800.00",
1181,Lake Cumberland,KY,Ashland,Cindi,Null,877-308-9638,"$45,000.00",
1182,Lake Cumberland,KY,Campbellsville,Cindy,Null,270-866-5717,"$43,300.00",
1183,Lake Cumberland,KY,Elizabethtown,Cindy,Null,270-585-2775,"$42,400.00",
1184,Lake Cumberland,KY,Florence,Cindy,Null,270-866-5717,"$41,600.00",
1185,Lake Cumberland,KY,Harlan,John,Gray,,"$42,100.00",
1186,Lake Cumberland,KY,Henderson,Cindi,Null,877-308-9638,"$45,100.00",
1187,Lake Cumberland,KY,Hopkinsville,Glen,Wilson,,"$46,100.00",
1188,Lake Cumberland,KY,Mt Sterling,Cindy,Null,877-308-9638,"$42,700.00",
1189,Lake Cumberland,KY,Somerset,Cindy,Null,877-308-9638,"$45,800.00",
1190,Truck America Training,KY,Shepardsville,Debbie,Null,502-955-6388,"$42,100.00",
1191,McCann aka Career Technical College,LA,Shreveport,Jason,Magness,318-629-2889,"$40,400.00",
1192,Coastal Truck Driving School,LA,Calhoun,Josue,Null,318-644-0206,"$44,500.00",
1193,Coastal Truck Driving School,LA,Hammond,Josue,Null,985-386-5600,"$39,800.00",
1194,Coastal Truck Driving School,LA,Harvey,Josue,Null,,"$43,200.00",
1195,Coastal Truck Driving School,LA,Baton Rouge,Josue,Null,225-272-2213,"$46,900.00",
1196,Coastal Truck Driving School,LA,Alexandria,Josue,Null,318-443-3782,"$44,400.00",
1197,Coastal Truck Driving School,LA,Opelousas / Lafayette,Josue,Null,337-662-7156,"$43,300.00",
1198,Delta Community College,LA,West Monroe,Hubert,Reeves,318-397-6110,"$42,300.00",
1199,Diesel Driving Academy,LA,Baton Rouge,Seth,Null,800-551-8900,"$39,800.00",
1200,Diesel Driving Academy,LA,Shreveport,Steffon,Jones,318-636-0606,"$57,700.00",
1201,Global Trucking Academy,LA,Mamsura,Andrea,Destin,318-587-8806,"$43,900.00",
1202,Louisiana Technical College,LA,Minden,Jennie,Null,318-371-3644,"$41,100.00",
1203,South Central Louisiana Tech,LA,Thibodaux,Cedric,Grimes,985-447-0924,"$48,700.00",
1204,Allstate Career,MD,Baltimore,Pamela,Ringley,443-743-1177,"$40,100.00",
1205,Hagerstown Community College,MD,Hagerstown,Mike,Stevenson,240-500-2000,"$42,000.00",
1206,CDL Training Services and Consulting Inc,MI,Muskegan,Michelle,Null,231-777-0200,"$45,200.00",
1207,Detroit Training Center,MI,Detroit,Tom,Mueller,734-713-8540,"$40,900.00",
1208,Great American Truck Driving School,MI,Detroit,Mohammed,Khan,313-309-9900,"$39,800.00",
1209,International Truck Driving School,MI,Canton,Brian,Null,734-354-0844,"$42,000.00",
1210,International Truck Driving School,MI,Holt,Brian,Null,517-485-2190,"$41,200.00",
1211,Semi Academy ,MI,Lawton,Tony,Null,269-624-4444,"$47,400.00",
1212,Suburban Truck Driver Training School,MI,Romulus,Ashley,Dowdy,734-229-0000,"$40,600.00",
1213,Trainco ,MI,Taylor,Jimmy,Null,734-374-5000,"$35,600.00",
1214,Trainco ,MI,Lansing,Jimmy,Null,517-887-1600,"$44,900.00",
1215,Tri Area Driving School,MI,Freeland,John,Seeman,989-692-0560,"$39,500.00",
1216,US Truck Driver Training School,MI,Detroit,Tyler,Labarge,313-297-6608,"$40,400.00",
1217,West Michigan CDL,MI,Grandville,Bob,Vizler,616-257-9045,"$43,800.00",
1218,160 Driving Academy,MI,Wayne,Tawnya,Phillips,313-308-1145,"$42,300.00",
1219,American Professionsl Driver Academy,MO,Phillipsburg,Cindy,Underwood,417-589-0186,"$55,200.00",
1220,Crowder College,MO,Neosho,Darrin,Null,417-451-3223,"$44,500.00",
1221,Driver Solutions - C1,MO,Strafford,Diane,Pulse,317- 791-2901,"$35,100.00",
1222,Midwest Technical Institute,MO,Springfield,Kym,McGarry,417-227-4965,"$40,800.00",
1223,MTC ,MO,Hazelwood,Debbie,Smith,314-787-6521,"$44,900.00",
1224,Route 66 CDL Training,MO,Strafford,Jodi,Madden,417-447-2127,"$41,500.00",
1225,Southern Missouri Truck Driving,MO,Malden / Sikeston,Regina,Null,888-276-3860,"$35,600.00",
1226,Specialized Driver Training,MO,Springfield,Jodi,Madden,417-655-4606,"$42,400.00",
1227,ST Louis Community College,MO,St Louis MO,Leo,Rives,314-644-9740,"$38,000.00",
1228,Truck Dynasty Driving Academy LLC,MO,Bois D'Arc,Lisa,Karmann,417-831-8188,"$50,800.00",
1229,Westwind CDL Training ,MO,Cuba,Pat,Null,888-330-7410,"$46,100.00",
1230,Ace Training Center,MS,Jackson/Byram,Carl,Ferguson,601-502-0730,"$44,200.00",
1231,CRW ,MS,Jackson,J.T.,Robinson,601-321-9322,"$42,300.00",
1232,Copiah-Lincoln Community College,MS,Natchez,Ernest,Woods,601-334-0585,"$39,600.00",
1233,Delta Technical College,MS,Horn Lake,John,Null,662-280-1443,"$41,900.00",
1234,Delta Technical College,MS,Jackson,John,Null,601-206-5200,"$40,200.00",
1235,East Central Community College,MS,Decatur,Chris,Clark,601-917-7396,"$44,000.00",
1236,East Mississippi Community College,MS,West Point,Bob,Weining,662-243-2610,"$40,700.00",
1237,Itawamba Community College,MS,Tupelo,Greg,Taylor,662-620-5158,"$40,900.00",
1238,Jones County Junior College,MS,Ellisville,Kim,Bridges,601-477-5440,"$45,100.00",
1239,Meridian Community College,MS,Meridian,Otis,Gowdy,601-485-5118,"$38,900.00",
1240,Northwest Mississippi Community College,MS,Olive Branch ,Keith,Wilbanks,662-280-6181,"$39,400.00",
1241,SEC Training Center,MS,Flowood,Dave,Red,877-285-8621,"$47,100.00",
1242,Southwest Mississippi Community College,MS,Summit,Gregory,Magee,601-276-3719,"$43,900.00",
1243,TDI,MS,Sauicer,Sherry,Hart,800-832-8020,"$39,100.00",
1244,TDI (Truck Driver Institute),MS,Tupelo,Sherry,Hart,662-841-2023,"$41,000.00",
1245,Advanced Trucking Institute,NC,Asheville,Joe,Sowers,828-259-5309,"$39,900.00",
1246,Alliance Tractor-Trailer Training Center,NC,Fletcher / Arden,Sandra,Null,828-684-4454,"$41,400.00",
1247,Beaufort Co Community College,NC,Washington,Justin,Null,252-940-6262,"$38,000.00",
1248,Caldwell Community College,NC,Hudson,Joan,Main,828-850-0746,"$38,400.00",
1249,Cape Fear Community College,NC,Castle Hayne,Libby,Vance,910-362-7320,"$48,500.00",
1250,Carolina Trucking Academy,NC,Raleigh,Donna,Gray,919-329-0632,"$39,000.00",
1251,Catawba Valley Community College,NC,Hickory,Roger,Chester,828-499-1293,"$41,700.00",
1252,CDL Training Institute,NC,Fletcher,Sandra,Goforth,828-290-1864,"$39,600.00",
1253,Craven Community College,NC,New Bern,Jeff,Schulze,252-638-7200,"$37,800.00",
1254,Davidson / Davis  Community College,NC,Mocksville / Lexington,Melissa,Null,336-751-2885,"$39,500.00",
1255,Gaston College / Caldwell Community College,NC,Cherryville / Gastonia ,Myron,Greene,828-305-3209,"$40,300.00",
1256,Isothermal Community College,NC,Spindale,Myron,Greene,828-305-3209,"$40,800.00",
1257,Miller-Motte Technical College,NC,Fayetteville,Bill,Pontin,910-354-1900,"$41,200.00",
1258,Miller-Motte Technical College,NC,Greenville,Stacy,Hodges,252-215-2064,"$46,200.00",
1259,Miller-Motte Technical College,NC,Jacksonville,Todd,Tedeschi,910-478-4307,"$41,000.00",
1260,Miller-Motte Technical College,NC,Raleigh,Chris,Venegas,919-723-2856,"$39,000.00",
1261,Mitchell Comm. College,NC,Statesville,Heady,Ryerson,(704) 878-3200,"$48,800.00",
1262,NC Truck Driver Training (Johnston CC ) ,NC,Smithfield,Paul,Jump,919-464-2333,"$50,500.00",
1263,Rowan-Cabarrug CC,NC,Kannapolis,Tashina,Mahatha,704-216-7222,"$39,500.00",
1264,Sage / Nash CC,NC,Rocky Mount,Amy,Null,252-451-8357,"$38,300.00",
1265,Sampson Community College,NC,Clinton,Fred,Stamey,910-592-8081,"$40,000.00",
1266,Central New Mexico CC ,NM,Albuquerque,Vardis,Gaus,505-224-4000,"$38,400.00",
1267,International Truck Driving School,NM,Sunland Park,,Null,,"$40,700.00",
1268,Rocky Mountain,NM,Albuquerque,Sue,Buck,505-888-5182,"$40,500.00",
1269,Apollo Career Center,OH,Lima,Jim,Rosen,866-276-5562,"$39,100.00",
1270,Butler Tech,OH,Liberty Township,Frank,Munafo,513-300-3288,"$40,400.00",
1271,Capital Transportation Academy,OH,Columbus,Marv,Null,614-258-0400,"$37,900.00",
1272,Clark State Community College,OH,Beavercreek & Springfield,Tom,Null,937-429-8819,"$45,300.00",
1273,Cuyahoga Community College,OH,Euclid & Brunswick,Ian,Wilson,216-987-3332,"$38,300.00",
1274,Great Lakes Truck Driving School,OH,Columbia Station,John,Faust,866-932-3436,"$37,800.00",
1275,Napier,OH,Hamilton,Carla,Null,513-755-3413,"$40,700.00",
1276,Ohio Business College,OH,Middletown,Rita,Hoke,513-424-1237,"$47,900.00",
1277,Southern States Community College,OH,Wilmington,Ellen,Turner,937-393-3431,"$40,200.00",
1278,Southern States Community College,OH,Piketon,Ellen,Turner,937-393-3431,"$39,600.00",
1279,TDDS Technical Institute,OH,Lake Milton,Kim,Webb,330-538-2216,"$35,700.00",
1280,Trainco ,OH,Perrysburg,Michael,Moscinski,419-837-5730,"$36,700.00",
1281,American Truck Training,OK,Oklahoma City,Jerry,Thurman,405-254-5556,"$39,900.00",
1282,Arbuckle Truck Driving School,OK,Ardmore,Lisa,Null,580-223-3360,"$44,300.00",
1283,Caddo Kiowa Technology Center,OK,Fork Cobb,Dale,Lewis,405-643-3279,"$40,000.00",
1284,Central Tech Comm. College,OK,Drumright,John,Thrope,918-352-7312,"$38,300.00",
1285,CTS - Redlands Community College,OK,El Reno,Gary,Rackliff,405-422-1497,"$38,400.00",
1286,Clearfield County Career / Technology Center,PA,Clearfield,Bruce,Yeckney,814-765-3453,"$38,500.00",
1287,HACC (Harrisburg Area Community College),PA,Harrisburg,Julie,Quigley,717-221-1357,"$40,500.00",
1288,Keystone Diesel,PA,Butler,Tom,Null,724-482-0019,"$35,900.00",
1289,Lancaster County Career and Technology,PA,Mt. Joy,Nicole,Spittler,717-653-3003,"$39,100.00",
1290,Shelly Truck Driving School,PA,York,Randall,Byers,800-637-9782 ext1106,"$39,700.00",
1291,Centura College,SC,Columbia,Dale,Weiburg,803-754-7544,"$39,400.00",
1292,DC Training,SC,Florence,David,Colburn,843-667-6990,"$39,500.00",
1293,Florence- Darlington Technical / Midlands Campus,SC,West Columbia,Thomas,Pierce,843-413-2715,"$39,800.00",
1294,Greenville Tech College,SC,Greenville,Brian,Null,1-864-422-1762,"$40,400.00",
1295,Miller-Motte Technical College,SC,Conway,Troy,Saunders,843-591-1127,"$36,800.00",
1296,Miller-Motte Technical College,SC,North Charleston,,Null,,"$37,000.00",
1297,Orangeburg- Calhoun Technical College,SC,Orangeburg,Sandra,Moore,803-536-0311,"$44,000.00",
1298,T.M. Taras,SC,Inman,Max,Malanchuk,864-279-3799,"$36,600.00",
1299,TDI,SC,Richburg,Sherry,Hart,615-895-2070,"$35,800.00",
1300,Tri- County Technical College,SC,Anderson,Patricia,Null,864-646-1700,"$36,800.00",
1301,Xtra Mile Driver Training ,SC,Bishopville,Jim,Seagle,866-484-6313,"$40,900.00",
1302,Chattanooga State Truck Driving School / Chattanooga State Community College Cleveland Branch,TN,Hixson,Don,Hunt,1-423-875-8448,"$37,200.00",
1303,Commercial Carrier Services (CCS),TN,Fall Branch,Billy,Dishner,1-423-348-8339,"$38,000.00",
1304,Daymar CDL Trucking School,TN,Murfreesboro,David,Holloway,615-217-9347,"$39,600.00",
1305,Drive Train,TN,Jackson and Dyersburg,Steven,Goodwin,800-423-8820,"$40,600.00",
1306,Fortis Institutte,TN,Cookeville,Cindy,Garrison,931-526-3660,"$38,300.00",
1307,Miller-Motte Technical College,TN,Chattanooga,Mike,Pasqualucci,,"$36,500.00",
1308,Miller-Motte Technical College,TN,Clarksville,Neil,Koleske,800-558-0071,"$45,300.00",
1309,Miller-Motte Technical College,TN,Madison,Stephen,Baird,615-859-8090,"$40,800.00",
1310,TN College of Applied Technology,TN,Crossville,Mike,Bailey,931-484-7502,"$35,900.00",
1311,Tennessee Technology Center,TN,Nashville,Gary,Warren,615-425-5603,"$38,700.00",
1312,Tennessee Technology Center,TN,Jackson,Kerrick,Henderson,731-445-9457,"$40,200.00",
1313,Tennessee Technology Center,TN,Knoxville,Ron,Winters,865-637-7040,"$39,500.00",
1314,Tennessee Technology Center,TN,Shelbyville,Doyle,Wright,,"$40,500.00",
1315,Lockhart Trucking Academy,TN,Mt Juliet,Susan,Null,615-288-2880,"$39,500.00",
1316,Oak Ridge Truck Driving School,TN,Oak Ridge,Jim,Sanford,865-483-3400,"$40,900.00",
1317,Peak Technical Institute,TN,Maryville,Gerald,Wilson,865-238-4004,"$37,800.00",
