State,Abbreviation,Income,TotArea,LandArea,WaterArea,Density,2022 Pop., FY19GDPQ2,FY20GDPQ1,FY20GDPQ2,Name,Party,Date assumed office
Maryland,MD,"$111,417 ","12,406","9,707","2,699",626,"6,075,314","73,545.77","74,784.43","69,040.57",Larry Hogan,Republican,1/21/2015
Massachusetts,MA,"$111,498 ","10,554","7,800","2,754",887,"6,922,107","90,767.19","91,749.24","83,472.40",Charles D. Baker,Republican,1/8/2015
Michigan,MI,"$78,400 ","96,714","56,539","40,175",177,"9,995,212","54,001.04","54,145.33","48,109.19",Gretchen Whitmer,Democratic,1/1/2019
Minnesota,MN,"$93,925 ","86,936","79,627","7,309",72,"5,739,781","71,950.13","72,493.54","65,618.16",Tim Walz,Democratic,1/7/2019
Mississippi,MS,"$62,835 ","48,432","46,923","1,509",63,"2,961,536","38,814.65","39,463.26","35,615.24",Tate Reeves,Republican,1/14/2020
Missouri,MO,"$76,060 ","69,707","68,742",965,90,"6,184,843","54,472.15","55,149.53","49,947.28",Mike Parson,Republican,6/1/2018
Montana,MT,"$74,190 ","147,040","145,546","1,494",8,"1,093,117","53,003.34","53,854.75","48,231.94",Greg Gianforte,Republican,1/4/2021
Nebraska,NE,"$80,208 ","77,348","76,824",524,26,"1,960,790","70,551.17","72,669.62","65,536.67",Pete Ricketts,Republican,1/8/2015
Nevada,NV,"$81,496 ","110,572","109,781",791,30,"3,238,601","65,484.34","66,665.65","57,921.99",Steve Sisolak,Democratic,7/11/1905
New Hampshire,NH,"$99,165 ","9,349","8,953",397,154,"1,378,449","66,346.37","66,941.52","59,774.40",Chris Sununu,Republican,1/5/2017
New Jersey,NJ,"$114,691 ","8,723","7,354","1,368","1,206","8,870,685","71,832.72","72,983.76","65,289.40",Phil Murphy,Democratic,1/16/2018
New Mexico,NM,"$69,077 ","121,590","121,298",292,17,"2,109,093","50,836.86","50,729.73","45,341.91",Michelle Lujan Grisham,Democratic,1/1/2019
New York,NY,"$101,945 ","54,555","47,126","7,429",408,"19,223,191","91,419.96","91,765.44","81,941.94",Kathy Hochul,Democratic,8/24/2021
North Carolina,NC,"$76,940 ","53,819","48,618","5,201",222,"10,807,491","61,714.48","62,989.04","57,341.16",Roy Cooper,Democratic,1/1/2017
North Dakota,ND,"$85,476 ","70,698","69,001","1,698",11,"774,008","85,277.38","83,880.84","74,162.16",Doug Burgum,Republican,12/15/2016
Ohio,OH,"$76,958 ","44,826","40,861","3,965",287,"11,727,377","59,973.51","60,354","54,286.41",Richard Michael DeWine,Republican,1/14/2019
Oklahoma,OK,"$72,695 ","69,899","68,595","1,304",58,"4,007,179","53,920.31","52,142.92","46,132.85",Kevin Stitt,Republican,1/14/2019
Oregon,OR,"$84,258 ","98,379","95,988","2,391",45,"4,325,290","65,640","67,262.50","61,027.06",Kate Brown,Democratic,7/7/1905
Pennsylvania,PA,"$84,849 ","46,054","44,743","1,312",286,"12,805,190","63,447.42","63,683.88","56,983.85",Tom Wolf,Democratic,1/20/2015
Rhode Island,RI,"$89,093 ","1,545","1,034",511,"1,028","1,062,583","58,717.97","58,859.72","53,474.22",Daniel McKee,Democratic,3/2/2021
South Carolina,SC,"$73,520 ","32,020","30,061","1,960",178,"5,342,388","52,989.26","53,577.82","48,577.63",Henry McMaster,Republican,1/24/2017
South Dakota,SD,"$76,240 ","77,116","75,811","1,305",12,"902,542","66,935.20","68,868.92","62,579.90",Kristi L. Noem,Republican,1/5/2017
Tennessee,TN,"$74,750 ","42,144","41,235",909,170,"7,001,803","59,152.42","59,793.18","52,503.75",Bill Lee,Republican,1/16/2018
Texas,TX,"$87,260 ","268,596","261,232","7,365",115,"30,097,526","72,998.03","72,314.73","64,750.39",Greg Abbott,Republican,1/1/2019
Utah,UT,"$91,292 ","84,897","82,170","2,727",41,"3,363,182","68,781.81","70,767.92","66,173.01",Spencer Cox,Republican,8/24/2021
Vermont,VT,"$81,233 ","9,616","9,217",400,68,"622,882","54,025.23","54,362.11","48,222.51",Phil Scott,Republican,1/1/2017
Virginia,VA,"$101,746 ","42,775","39,490","3,285",219,"8,638,218","69,024.89","70,330.75","64,980.63",Glenn Youngkin,Republican,12/15/2016
Washington,WA,"$98,983 ","71,298","66,456","4,842",119,"7,887,965","90,440.55","92,961.09","86,205.88",Jay Inslee,Democratic,1/14/2019
West Virginia,WV,"$63,680 ","24,230","24,038",192,73,"1,755,715","42,733.60","41,212.38","36,697.80",Jim Justice,Republican,1/5/2017
Wisconsin,WI,"$80,674 ","65,496","54,158","11,339",108,"5,867,518","61,275.22","61,196.04","55,218.44",Tony Evers,Democratic,1/16/2018
Wyoming,WY,"$81,880 ","97,813","97,093",720,6,"582,233","71,503.62","68,627.42","58,963.04",Mark Gordon,Republican,1/1/2019
